month,material_no,area,target_value
2025-07,CK-001,Ahmedabad,23575.41
2025-08,CK-001,Ahmedabad,17045.69
2025-09,CK-001,Ahmedabad,20859.79
2025-10,CK-001,Ahmedabad,20215.79
2025-11,CK-001,Ahmedabad,16674.37
2025-12,CK-001,Ahmedabad,21891.02
2026-01,CK-001,Ahmedabad,18041.96
2026-02,CK-001,Ahmedabad,16979.3
2026-03,CK-001,Ahmedabad,23733.01
2026-04,CK-001,Ahmedabad,17679.11
2026-05,CK-001,Ahmedabad,18011.65
2026-06,CK-001,Ahmedabad,16847.15
2025-07,CK-001,Chennai,22109.02
2025-08,CK-001,Chennai,16623.6
2025-09,CK-001,Chennai,21432.35
2025-10,CK-001,Chennai,28971.71
2025-11,CK-001,Chennai,21051.17
2025-12,CK-001,Chennai,26986.95
2026-01,CK-001,Chennai,17685.08
2026-02,CK-001,Chennai,19708.95
2026-03,CK-001,Chennai,23989.4
2026-04,CK-001,Chennai,16734.88
2026-05,CK-001,Chennai,17684.94
2026-06,CK-001,Chennai,15974.03
2025-07,CK-001,Delhi,24632.68
2025-08,CK-001,Delhi,18858.7
2025-09,CK-001,Delhi,21965.92
2025-10,CK-001,Delhi,21614.51
2025-11,CK-001,Delhi,16984.83
2025-12,CK-001,Delhi,21430.84
2026-01,CK-001,Delhi,18815.56
2026-02,CK-001,Delhi,18399.34
2026-03,CK-001,Delhi,22072.93
2026-04,CK-001,Delhi,18203.52
2026-05,CK-001,Delhi,18084.86
2026-06,CK-001,Delhi,17524.87
2025-07,CK-001,Guwahati,14401.91
2025-08,CK-001,Guwahati,11131.43
2025-09,CK-001,Guwahati,13860.3
2025-10,CK-001,Guwahati,15376.35
2025-11,CK-001,Guwahati,11964.0
2025-12,CK-001,Guwahati,14692.47
2026-01,CK-001,Guwahati,11942.38
2026-02,CK-001,Guwahati,11135.88
2026-03,CK-001,Guwahati,13767.84
2026-04,CK-001,Guwahati,10557.63
2026-05,CK-001,Guwahati,9701.85
2026-06,CK-001,Guwahati,11774.04
2025-07,CK-001,Hyderabad,22226.81
2025-08,CK-001,Hyderabad,17146.61
2025-09,CK-001,Hyderabad,24659.5
2025-10,CK-001,Hyderabad,26805.97
2025-11,CK-001,Hyderabad,22840.63
2025-12,CK-001,Hyderabad,26068.85
2026-01,CK-001,Hyderabad,16544.6
2026-02,CK-001,Hyderabad,16314.14
2026-03,CK-001,Hyderabad,20570.05
2026-04,CK-001,Hyderabad,18998.69
2026-05,CK-001,Hyderabad,17941.63
2026-06,CK-001,Hyderabad,17405.36
2025-07,CK-001,Jaipur,14696.6
2025-08,CK-001,Jaipur,11608.2
2025-09,CK-001,Jaipur,14117.26
2025-10,CK-001,Jaipur,15067.93
2025-11,CK-001,Jaipur,11935.78
2025-12,CK-001,Jaipur,16300.35
2026-01,CK-001,Jaipur,12391.75
2026-02,CK-001,Jaipur,10698.74
2026-03,CK-001,Jaipur,14722.57
2026-04,CK-001,Jaipur,10186.47
2026-05,CK-001,Jaipur,12344.47
2026-06,CK-001,Jaipur,13529.73
2025-07,CK-001,Kolkata,21289.15
2025-08,CK-001,Kolkata,20274.16
2025-09,CK-001,Kolkata,21916.81
2025-10,CK-001,Kolkata,22168.38
2025-11,CK-001,Kolkata,18574.69
2025-12,CK-001,Kolkata,21133.97
2026-01,CK-001,Kolkata,16663.83
2026-02,CK-001,Kolkata,19145.2
2026-03,CK-001,Kolkata,22763.79
2026-04,CK-001,Kolkata,17556.03
2026-05,CK-001,Kolkata,18661.83
2026-06,CK-001,Kolkata,20328.0
2025-07,CK-001,Patna,13271.5
2025-08,CK-001,Patna,11833.65
2025-09,CK-001,Patna,14008.28
2025-10,CK-001,Patna,14337.46
2025-11,CK-001,Patna,10963.38
2025-12,CK-001,Patna,14236.21
2026-01,CK-001,Patna,10729.01
2026-02,CK-001,Patna,10861.43
2026-03,CK-001,Patna,14799.1
2026-04,CK-001,Patna,11212.81
2026-05,CK-001,Patna,13187.35
2026-06,CK-001,Patna,11888.21
2025-07,CK-001,Pune,21930.75
2025-08,CK-001,Pune,16090.53
2025-09,CK-001,Pune,21285.15
2025-10,CK-001,Pune,22279.31
2025-11,CK-001,Pune,16477.02
2025-12,CK-001,Pune,20357.87
2026-01,CK-001,Pune,17364.62
2026-02,CK-001,Pune,19136.42
2026-03,CK-001,Pune,21860.05
2026-04,CK-001,Pune,18681.94
2026-05,CK-001,Pune,17010.71
2026-06,CK-001,Pune,17233.04
2025-07,CK-002,Ahmedabad,20320.32
2025-08,CK-002,Ahmedabad,18223.36
2025-09,CK-002,Ahmedabad,21859.06
2025-10,CK-002,Ahmedabad,23026.78
2025-11,CK-002,Ahmedabad,18116.9
2025-12,CK-002,Ahmedabad,22742.42
2026-01,CK-002,Ahmedabad,18373.99
2026-02,CK-002,Ahmedabad,19074.43
2026-03,CK-002,Ahmedabad,20942.44
2026-04,CK-002,Ahmedabad,19191.34
2026-05,CK-002,Ahmedabad,16872.93
2026-06,CK-002,Ahmedabad,21271.78
2025-07,CK-002,Bengaluru,20978.66
2025-08,CK-002,Bengaluru,20169.52
2025-09,CK-002,Bengaluru,21562.77
2025-10,CK-002,Bengaluru,26757.54
2025-11,CK-002,Bengaluru,20458.18
2025-12,CK-002,Bengaluru,26857.21
2026-01,CK-002,Bengaluru,15432.2
2026-02,CK-002,Bengaluru,17550.88
2026-03,CK-002,Bengaluru,20188.45
2026-04,CK-002,Bengaluru,17319.93
2026-05,CK-002,Bengaluru,18673.89
2026-06,CK-002,Bengaluru,18878.34
2025-07,CK-002,Guwahati,13968.34
2025-08,CK-002,Guwahati,10745.98
2025-09,CK-002,Guwahati,15824.84
2025-10,CK-002,Guwahati,15737.8
2025-11,CK-002,Guwahati,10703.78
2025-12,CK-002,Guwahati,13926.23
2026-01,CK-002,Guwahati,11380.34
2026-02,CK-002,Guwahati,12028.39
2026-03,CK-002,Guwahati,13909.1
2026-04,CK-002,Guwahati,12341.55
2026-05,CK-002,Guwahati,12191.55
2026-06,CK-002,Guwahati,10658.44
2025-07,CK-002,Jaipur,15028.96
2025-08,CK-002,Jaipur,12523.06
2025-09,CK-002,Jaipur,14766.96
2025-10,CK-002,Jaipur,13695.08
2025-11,CK-002,Jaipur,11890.21
2025-12,CK-002,Jaipur,14190.39
2026-01,CK-002,Jaipur,11610.95
2026-02,CK-002,Jaipur,11446.81
2026-03,CK-002,Jaipur,13336.93
2026-04,CK-002,Jaipur,12386.57
2026-05,CK-002,Jaipur,11414.53
2026-06,CK-002,Jaipur,11139.78
2025-07,CK-002,Kolkata,20773.51
2025-08,CK-002,Kolkata,19229.77
2025-09,CK-002,Kolkata,23417.78
2025-10,CK-002,Kolkata,21660.43
2025-11,CK-002,Kolkata,17937.04
2025-12,CK-002,Kolkata,22298.46
2026-01,CK-002,Kolkata,18196.48
2026-02,CK-002,Kolkata,19542.21
2026-03,CK-002,Kolkata,21129.89
2026-04,CK-002,Kolkata,20251.75
2026-05,CK-002,Kolkata,17683.71
2026-06,CK-002,Kolkata,18288.47
2025-07,CK-002,Lucknow,13709.81
2025-08,CK-002,Lucknow,12400.27
2025-09,CK-002,Lucknow,14262.9
2025-10,CK-002,Lucknow,15835.17
2025-11,CK-002,Lucknow,10523.29
2025-12,CK-002,Lucknow,16007.38
2026-01,CK-002,Lucknow,10515.72
2026-02,CK-002,Lucknow,10891.67
2026-03,CK-002,Lucknow,13640.59
2026-04,CK-002,Lucknow,11676.05
